https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1623974400000,2021-06-18 00:00:00,ETH/USDT,2373.28000000,2378.00000000,2139.00000000,2234.09000000,778905.20197000,1758827532.88334170,1067542
1623888000000,2021-06-17 00:00:00,ETH/USDT,2368.02000000,2460.50000000,2306.00000000,2373.28000000,560667.58566000,1338389545.00148260,961448
1623801600000,2021-06-16 00:00:00,ETH/USDT,2543.55000000,2556.19000000,2351.18000000,2367.89000000,624741.78358000,1533734359.41300690,896073
1623715200000,2021-06-15 00:00:00,ETH/USDT,2580.58000000,2640.00000000,2507.70000000,2543.54000000,599826.64933000,1548303436.06276510,1044834
1623628800000,2021-06-14 00:00:00,ETH/USDT,2509.33000000,2609.17000000,2461.00000000,2580.77000000,684183.55622000,1730260219.13381020,1118498
1623542400000,2021-06-13 00:00:00,ETH/USDT,2370.64000000,2548.41000000,2308.41000000,2509.33000000,715948.75986000,1724097564.33430690,1217504
1623456000000,2021-06-12 00:00:00,ETH/USDT,2354.09000000,2454.53000000,2256.22000000,2370.74000000,767439.49840000,1807036943.99862450,1127302
1623369600000,2021-06-11 00:00:00,ETH/USDT,2471.01000000,2497.99000000,2321.37000000,2354.01000000,587364.27358000,1424975261.80772060,885172
1623283200000,2021-06-10 00:00:00,ETH/USDT,2610.20000000,2624.46000000,2425.11000000,2471.09000000,741237.49926000,1874571746.43544430,978237
1623196800000,2021-06-09 00:00:00,ETH/USDT,2507.43000000,2626.63000000,2405.28000000,2610.18000000,1276718.24011000,3223323188.07037870,1763686
1623110400000,2021-06-08 00:00:00,ETH/USDT,2592.05000000,2620.99000000,2304.91000000,2507.23000000,1693747.42759000,4201646662.88173420,2128256
1623024000000,2021-06-07 00:00:00,ETH/USDT,2711.92000000,2847.55000000,2570.00000000,2592.05000000,1152128.07856000,3149245176.91126330,1926275
1622937600000,2021-06-06 00:00:00,ETH/USDT,2627.63000000,2745.00000000,2614.00000000,2711.92000000,673792.69369000,1814112037.53351020,1336460
1622851200000,2021-06-05 00:00:00,ETH/USDT,2689.54000000,2816.87000000,2552.23000000,2627.73000000,961824.12413000,2575726370.43085890,1670498
1622764800000,2021-06-04 00:00:00,ETH/USDT,2857.25000000,2860.00000000,2552.00000000,2689.51000000,1188314.11191000,3175186750.49087600,1775946
1622678400000,2021-06-03 00:00:00,ETH/USDT,2706.21000000,2891.95000000,2662.40000000,2857.25000000,1024290.89423000,2874856613.49024370,1620340
1622592000000,2021-06-02 00:00:00,ETH/USDT,2634.31000000,2802.99000000,2550.00000000,2706.22000000,970070.53563000,2616566301.62878750,1349232
1622505600000,2021-06-01 00:00:00,ETH/USDT,2706.15000000,2740.00000000,2523.74000000,2634.57000000,1179577.10806000,3081355010.95345160,1790186
1622419200000,2021-05-31 00:00:00,ETH/USDT,2385.82000000,2720.00000000,2271.44000000,2706.15000000,1307958.04068000,3277131772.13407020,1849177
1622332800000,2021-05-30 00:00:00,ETH/USDT,2278.74000000,2476.42000000,2180.53000000,2385.98000000,1151113.19883000,2726606138.63171710,1519005
1622246400000,2021-05-29 00:00:00,ETH/USDT,2412.34000000,2574.27000000,2204.10000000,2278.74000000,1379427.18851000,3288804154.83187110,1887733
1622160000000,2021-05-28 00:00:00,ETH/USDT,2742.23000000,2762.45000000,2327.38000000,2412.10000000,1554584.61362000,3934662309.04442250,2184249
1622073600000,2021-05-27 00:00:00,ETH/USDT,2884.82000000,2889.74000000,2633.68000000,2742.23000000,1099029.91206000,3033719144.34021290,1732113
1621987200000,2021-05-26 00:00:00,ETH/USDT,2705.10000000,2910.00000000,2643.00000000,2884.94000000,1583799.59251000,4416389128.58148030,2726537
1621900800000,2021-05-25 00:00:00,ETH/USDT,2647.92000000,2750.00000000,2378.54000000,2705.11000000,2115349.50445000,5442737549.40125950,2976859
1621814400000,2021-05-24 00:00:00,ETH/USDT,2096.63000000,2675.00000000,2079.94000000,2648.43000000,2186632.92245000,5180244966.72123050,3299296
1621728000000,2021-05-23 00:00:00,ETH/USDT,2295.45000000,2381.57000000,1728.74000000,2096.39000000,2914548.73125000,5907260139.54496040,3761018
1621641600000,2021-05-22 00:00:00,ETH/USDT,2430.98000000,2485.00000000,2145.00000000,2294.87000000,1684318.01157000,3934313840.47072720,2484734
1621555200000,2021-05-21 00:00:00,ETH/USDT,2767.87000000,2938.54000000,2101.00000000,2430.98000000,2727031.93514000,6898701128.84112870,3676164
1621468800000,2021-05-20 00:00:00,ETH/USDT,2438.92000000,2990.05000000,2155.00000000,2768.62000000,2942777.93010000,7750201898.66744090,4243052
1621382400000,2021-05-19 00:00:00,ETH/USDT,3375.08000000,3441.73000000,1888.00000000,2438.92000000,4309836.31939000,11641524166.98745910,5548968
1621296000000,2021-05-18 00:00:00,ETH/USDT,3282.25000000,3565.71000000,3240.00000000,3375.07000000,1287110.84143000,4392873871.82242700,2143887
1621209600000,2021-05-17 00:00:00,ETH/USDT,3581.81000000,3587.06000000,3102.00000000,3282.51000000,1904012.43998000,6401071580.73482600,2885352
1621123200000,2021-05-16 00:00:00,ETH/USDT,3646.24000000,3879.00000000,3343.06000000,3582.10000000,1324065.65875000,4788918304.49799650,2532983
1621036800000,2021-05-15 00:00:00,ETH/USDT,4075.02000000,4134.05000000,3632.00000000,3646.68000000,1039174.88082000,4030586492.96493760,2055345
1620950400000,2021-05-14 00:00:00,ETH/USDT,3717.92000000,4173.28000000,3691.35000000,4075.01000000,1153390.42631000,4569415542.24788800,2227244
1620864000000,2021-05-13 00:00:00,ETH/USDT,3810.15000000,4034.77000000,3500.00000000,3717.91000000,2068708.17427000,7846531159.41968720,3943562
1620777600000,2021-05-12 00:00:00,ETH/USDT,4173.46000000,4372.72000000,3701.58000000,3823.21000000,1601842.74017000,6673102683.97424080,3188941
1620691200000,2021-05-11 00:00:00,ETH/USDT,3946.63000000,4180.22000000,3771.64000000,4173.45000000,1095927.10403000,4350260231.58878710,2290977
1620604800000,2021-05-10 00:00:00,ETH/USDT,3923.95000000,4208.00000000,3650.00000000,3945.88000000,1505897.92612000,6079977785.41138740,3033133
1620518400000,2021-05-09 00:00:00,ETH/USDT,3910.26000000,3983.65000000,3726.08000000,3923.95000000,1000401.00820000,3885039042.66370740,2289303
1620432000000,2021-05-08 00:00:00,ETH/USDT,3479.79000000,3958.33000000,3449.27000000,3910.26000000,1130467.54852000,4170897763.92239390,2146967
1620345600000,2021-05-07 00:00:00,ETH/USDT,3489.74000000,3587.00000000,3353.23000000,3479.53000000,760544.64781000,2641740668.46964650,1382532
1620259200000,2021-05-06 00:00:00,ETH/USDT,3524.33000000,3605.40000000,3376.47000000,3489.73000000,920592.57706000,3213427394.77726540,1703109
1620172800000,2021-05-05 00:00:00,ETH/USDT,3239.01000000,3549.34000000,3200.23000000,3524.26000000,1174816.73588000,3955994776.90115780,2224441
1620086400000,2021-05-04 00:00:00,ETH/USDT,3431.04000000,3527.00000000,3160.00000000,3239.01000000,1826039.38558000,6103102520.70946180,3634236
1620000000000,2021-05-03 00:00:00,ETH/USDT,2949.33000000,3454.00000000,2949.32000000,3431.04000000,1329088.06280000,4243786480.41515130,2502746
1619913600000,2021-05-02 00:00:00,ETH/USDT,2944.83000000,2985.00000000,2852.26000000,2949.56000000,571982.54450000,1672310882.24470070,1132280
1619827200000,2021-05-01 00:00:00,ETH/USDT,2772.42000000,2954.28000000,2743.41000000,2944.77000000,690260.07741000,1979833188.06520470,1437394
1619740800000,2021-04-30 00:00:00,ETH/USDT,2757.04000000,2798.30000000,2723.09000000,2772.42000000,695339.20482000,1917297701.09952250,1382521
1619654400000,2021-04-29 00:00:00,ETH/USDT,2748.23000000,2798.00000000,2668.00000000,2757.04000000,863890.01069000,2366133509.25480070,1379738
1619568000000,2021-04-28 00:00:00,ETH/USDT,2666.13000000,2760.00000000,2559.44000000,2748.24000000,999383.18520000,2673547154.20087140,1587100
1619481600000,2021-04-27 00:00:00,ETH/USDT,2532.06000000,2680.00000000,2480.29000000,2666.13000000,771728.46451000,1995139023.61483670,1255607
1619395200000,2021-04-26 00:00:00,ETH/USDT,2320.44000000,2542.80000000,2303.64000000,2532.60000000,1076469.01367000,2652330344.66202370,1852607
1619308800000,2021-04-25 00:00:00,ETH/USDT,2214.08000000,2356.64000000,2168.00000000,2320.49000000,857517.38218000,1948978895.46515520,1307545
1619222400000,2021-04-24 00:00:00,ETH/USDT,2367.39000000,2368.74000000,2154.80000000,2213.35000000,997688.94623000,2246912953.27178130,1275474
1619136000000,2021-04-23 00:00:00,ETH/USDT,2397.94000000,2442.89000000,2107.00000000,2367.39000000,2532242.44185000,5719925451.74555810,2790382
1619049600000,2021-04-22 00:00:00,ETH/USDT,2357.06000000,2644.47000000,2303.44000000,2397.94000000,2220753.09746000,5508778905.78141780,3110597
1618963200000,2021-04-21 00:00:00,ETH/USDT,2330.26000000,2469.54000000,2235.16000000,2357.06000000,1177885.86170000,2771995884.03614840,1905822
1618876800000,2021-04-20 00:00:00,ETH/USDT,2161.12000000,2346.62000000,2055.00000000,2330.03000000,992240.80900000,2181209665.22593570,1478664
1618790400000,2021-04-19 00:00:00,ETH/USDT,2235.65000000,2300.00000000,2080.00000000,2161.12000000,820592.26555000,1800575928.10749440,1411498
1618704000000,2021-04-18 00:00:00,ETH/USDT,2317.65000000,2340.00000000,1946.80000000,2235.64000000,1475383.69204000,3190809322.51046110,2113566
1618617600000,2021-04-17 00:00:00,ETH/USDT,2422.38000000,2495.00000000,2310.00000000,2317.60000000,624232.25568000,1504895144.91223430,1242299
1618531200000,2021-04-16 00:00:00,ETH/USDT,2514.04000000,2548.29000000,2300.00000000,2422.67000000,999163.75205000,2418566593.04737460,1679215
