https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1624838400000,2021-06-28 00:00:00,BTC/USDT,34702.49000000,35297.71000000,33862.72000000,34494.89000000,82222.26781900,2837122779.52440164,1868627
1624752000000,2021-06-27 00:00:00,BTC/USDT,32283.65000000,34749.00000000,31973.45000000,34700.34000000,96613.24421100,3199980157.75033328,1799875
1624665600000,2021-06-26 00:00:00,BTC/USDT,31576.09000000,32730.00000000,30151.00000000,32283.65000000,107820.37528700,3376415451.79312412,1814051
1624579200000,2021-06-25 00:00:00,BTC/USDT,34663.08000000,35500.00000000,31275.00000000,31584.45000000,116061.13035600,3846120542.65729680,2094932
1624492800000,2021-06-24 00:00:00,BTC/USDT,33675.07000000,35298.00000000,32286.57000000,34663.09000000,86625.80426000,2925373222.10597716,1531230
1624406400000,2021-06-23 00:00:00,BTC/USDT,32509.56000000,34881.00000000,31683.00000000,33678.07000000,126966.10056300,4282250433.91944518,2026228
1624320000000,2021-06-22 00:00:00,BTC/USDT,31614.12000000,33298.78000000,28805.00000000,32509.56000000,204208.17976200,6406159197.07678900,3113977
1624233600000,2021-06-21 00:00:00,BTC/USDT,35600.17000000,35750.00000000,31251.23000000,31608.93000000,168778.87315900,5545926077.78806706,2688993
1624147200000,2021-06-20 00:00:00,BTC/USDT,35483.72000000,36137.72000000,33336.00000000,35600.16000000,89878.17085000,3124634336.84076064,1691871
1624060800000,2021-06-19 00:00:00,BTC/USDT,35820.48000000,36457.00000000,34803.52000000,35483.72000000,68712.44946100,2453817534.77716944,1212278
1623974400000,2021-06-18 00:00:00,BTC/USDT,38092.97000000,38202.84000000,35129.29000000,35819.84000000,95228.04293500,3507868126.30620260,1809253
1623888000000,2021-06-17 00:00:00,BTC/USDT,38349.00000000,39559.88000000,37365.00000000,38092.97000000,79541.30711900,3065622530.03988603,1620210
1623801600000,2021-06-16 00:00:00,BTC/USDT,40143.80000000,40527.14000000,38116.01000000,38349.01000000,87771.97693700,3450556041.60058353,2134897
1623715200000,2021-06-15 00:00:00,BTC/USDT,40516.28000000,41330.00000000,39506.40000000,40144.04000000,80679.62283800,3247746713.62740970,1931890
1623628800000,2021-06-14 00:00:00,BTC/USDT,39020.56000000,41064.05000000,38730.00000000,40516.29000000,108522.39194900,4320307646.76538952,2185089
1623542400000,2021-06-13 00:00:00,BTC/USDT,35546.12000000,39380.00000000,34757.00000000,39020.57000000,86921.02555500,3208991521.63768005,1894103
1623456000000,2021-06-12 00:00:00,BTC/USDT,37331.98000000,37463.63000000,34600.36000000,35546.11000000,87717.54999000,3132387326.53751386,1719650
1623369600000,2021-06-11 00:00:00,BTC/USDT,36677.83000000,37680.40000000,35936.77000000,37331.98000000,78466.00530000,2903043643.31007191,1727645
